Database,MSE Val,MSE Test
airlines2,0.01639-45,0.01139-50
Daily Female Births Dataset,0.06582-14,0.06331-28
Colorado River,0.02656-56,0.02712-58
Eletric,0.00693-70,0.00915-70
Gas,0.01107-25,0.01459-34
Lake Erie,0.01045-50,0.01032-48
Pollution,0.14339-14,0.15268-23
redwine,0.02485-32,0.02993-34
Monthly Sunspot Dataset,0.02301-63,0.02437-39
Minimum Daily Temperatures Dataset,0.03072-38,0.03262-41
