Database,MSE Val,MSE Test
airlines2,0.017-26,0.0116-52
Daily Female Births Dataset,0.04911-18,0.05918-2
Colorado River,0.01861-51,0.02233-60
Eletric,0.01262-69,0.01216-69
Gas,0.01571-67,0.01462-23
Lake Erie,0.0217-13,0.0218-38
Pollution,0.02328-39,0.01345-56
redwine,0.02737-26,0.02155-44
Monthly Sunspot Dataset,0.01398-39,0.01496-59
Minimum Daily Temperatures Dataset,0.03387-22,0.03436-31
