Database,MSE Val,MSE Test
airlines2,0.05058-33,0.04902-35
Daily Female Births Dataset,0.08075-13,0.0818-11
Colorado River,0.0407-67,0.0432-83
Eletric,0.01049-100,0.00997-100
Gas,0.02535-40,0.02483-43
Lake Erie,0.01384-76,0.01292-91
Pollution,0.2532-12,0.24895-10
redwine,0.0532-31,0.0541-24
Monthly Sunspot Dataset,0.02423-98,0.02464-92
Minimum Daily Temperatures Dataset,0.03493-92,0.03483-95
